epoch,step,train_loss,val_acc,val_loss
0,49,1.6005849838256836,,
0,99,1.50709867477417,,
0,149,1.5290518999099731,,
0,199,1.5936261415481567,,
0,249,1.5288844108581543,,
0,299,1.5741307735443115,,
0,312,,0.4653284549713135,1.5274196863174438
1,349,1.552764654159546,,
1,399,1.4604604244232178,,
1,449,1.5352108478546143,,
1,499,1.5777779817581177,,
1,549,1.5121190547943115,,
1,599,1.6069729328155518,,
1,625,,0.4653284549713135,1.531466007232666
2,649,1.6611413955688477,,
2,699,1.6046258211135864,,
2,749,1.5204421281814575,,
2,799,1.553694486618042,,
2,849,1.5142040252685547,,
2,899,1.5692968368530273,,
2,938,,0.4653284549713135,1.526411771774292
3,949,1.5647882223129272,,
3,999,1.6208198070526123,,
3,1049,1.5694687366485596,,
3,1099,1.5568448305130005,,
3,1149,1.5607426166534424,,
3,1199,1.506919264793396,,
3,1249,1.5332207679748535,,
3,1251,,0.4653284549713135,1.5256212949752808
4,1299,1.4958610534667969,,
4,1349,1.5142571926116943,,
4,1399,1.5274021625518799,,
4,1449,1.5553348064422607,,
4,1499,1.5136184692382812,,
4,1549,1.5847399234771729,,
4,1564,,0.4653284549713135,1.5255773067474365
5,1599,1.5224027633666992,,
5,1649,1.4937598705291748,,
5,1699,1.5441207885742188,,
5,1749,1.5018439292907715,,
5,1799,1.5250884294509888,,
5,1849,1.5834240913391113,,
5,1877,,0.4653284549713135,1.5259958505630493
6,1899,1.521761417388916,,
6,1949,1.5633105039596558,,
6,1999,1.5380101203918457,,
6,2049,1.5707268714904785,,
6,2099,1.5151567459106445,,
6,2149,1.526750922203064,,
6,2190,,0.4653284549713135,1.5267640352249146
7,2199,1.5279271602630615,,
7,2249,1.4773871898651123,,
7,2299,1.50386643409729,,
7,2349,1.5559606552124023,,
7,2399,1.5588386058807373,,
7,2449,1.4881260395050049,,
7,2499,1.5231512784957886,,
7,2503,,0.4653284549713135,1.5251357555389404
8,2549,1.4974250793457031,,
8,2599,1.5412909984588623,,
8,2649,1.4953339099884033,,
8,2699,1.5065765380859375,,
8,2749,1.48371422290802,,
8,2799,1.486966848373413,,
8,2816,,0.4653284549713135,1.526689052581787
9,2849,1.4985682964324951,,
9,2899,1.5397915840148926,,
9,2949,1.5151605606079102,,
9,2999,1.445376992225647,,
9,3049,1.5124905109405518,,
9,3099,1.600870966911316,,
9,3129,,0.4653284549713135,1.525855541229248
